batting_team,batsman,Total_Runs,No_Of_Innings,Batting_Average
Deccan Chargers,AC Gilchrist,1220.0,42,29.047619047619047
Deccan Chargers,AS Yadav,49.0,3,16.333333333333332
Deccan Chargers,Anirudh Singh,63.0,3,21.0
Deccan Chargers,Ankit Sharma,18.0,3,6.0
Deccan Chargers,B Chipli,244.0,10,24.4
Deccan Chargers,B Sumanth,35.0,1,35.0
Deccan Chargers,CA Lynn,6.0,1,6.0
Deccan Chargers,CL White,583.0,14,41.642857142857146
Deccan Chargers,D Kalyankrishna,3.0,1,3.0
Deccan Chargers,DB Ravi Teja,361.0,19,19.0
Deccan Chargers,DJ Harris,111.0,3,37.0
Deccan Chargers,DNT Zoysa,11.0,1,11.0
Deccan Chargers,DR Smith,237.0,10,23.7
Deccan Chargers,DT Christian,335.0,14,23.928571428571427
Deccan Chargers,DW Steyn,55.0,8,6.875
Deccan Chargers,FH Edwards,4.0,1,4.0
Deccan Chargers,H Das,2.0,1,2.0
Deccan Chargers,HH Gibbs,805.0,30,26.833333333333332
Deccan Chargers,IR Jaggi,43.0,4,10.75
Deccan Chargers,JP Duminy,449.0,13,34.53846153846154
Deccan Chargers,Jaskaran Singh,8.0,2,4.0
Deccan Chargers,KAJ Roach,10.0,1,10.0
Deccan Chargers,KC Sangakkara,558.0,24,23.25
Deccan Chargers,LPC Silva,40.0,2,20.0
Deccan Chargers,MD Mishra,166.0,9,18.444444444444443
Deccan Chargers,MJ Lumb,0.0,1,0.0
Deccan Chargers,MR Marsh,28.0,2,14.0
Deccan Chargers,MS Gony,4.0,1,4.0
Deccan Chargers,PA Patel,194.0,9,21.555555555555557
Deccan Chargers,PA Reddy,73.0,3,24.333333333333332
Deccan Chargers,PP Ojha,6.0,5,1.2
Deccan Chargers,R Sharma,29.0,3,9.666666666666666
Deccan Chargers,RG Sharma,1170.0,36,32.5
Deccan Chargers,RJ Harris,66.0,5,13.2
Deccan Chargers,RP Singh,44.0,10,4.4
Deccan Chargers,S Dhawan,969.0,23,42.130434782608695
Deccan Chargers,S Sohal,249.0,8,31.125
Deccan Chargers,SB Bangar,47.0,5,9.4
Deccan Chargers,SB Styris,126.0,7,18.0
Deccan Chargers,Shahid Afridi,81.0,7,11.571428571428571
Deccan Chargers,Shoaib Ahmed,1.0,1,1.0
Deccan Chargers,TL Suman,544.0,15,36.266666666666666
Deccan Chargers,VVS Laxman,238.0,13,18.307692307692307
Deccan Chargers,WPUJC Vaas,81.0,5,16.2
Deccan Chargers,Y Venugopal Rao,446.0,21,21.238095238095237
Delhi Daredevils,A Mishra,114.0,11,10.363636363636363
Delhi Daredevils,A Nehra,25.0,2,12.5
Delhi Daredevils,AB Agarkar,19.0,1,19.0
Delhi Daredevils,AB Dinda,0.0,1,0.0
Delhi Daredevils,AB McDonald,76.0,2,38.0
Delhi Daredevils,AB de Villiers,671.0,16,41.9375
Delhi Daredevils,AD Mathews,144.0,4,36.0
