match_id,batting_team,bowling_team,batsman,Balls_Played,Total_Runs
128,Kolkata Knight Riders,Rajasthan Royals,WP Saha,2,1
133,Royal Challengers Bangalore,Chennai Super Kings,RV Uthappa,38,68
134,Kings XI Punjab,Rajasthan Royals,DPMD Jayawardene,22,23
136,Deccan Chargers,Rajasthan Royals,Y Venugopal Rao,6,2
15,Chennai Super Kings,Royal Challengers Bangalore,SK Raina,17,28
159,Delhi Daredevils,Kings XI Punjab,A Nehra,4,1
175,Chennai Super Kings,Mumbai Indians,M Vijay,20,26
185,Kochi Tuskers Kerala,Pune Warriors,PA Patel,19,21
216,Deccan Chargers,Kolkata Knight Riders,A Mishra,10,9
22,Kings XI Punjab,Kolkata Knight Riders,K Goel,7,6
230,Delhi Daredevils,Chennai Super Kings,NV Ojha,14,25
266,Kolkata Knight Riders,Kings XI Punjab,MK Tiwary,27,20
268,Delhi Daredevils,Mumbai Indians,DPMD Jayawardene,21,17
27,Rajasthan Royals,Mumbai Indians,MM Patel,1,0
27,Rajasthan Royals,Mumbai Indians,SA Asnodkar,38,39
272,Deccan Chargers,Delhi Daredevils,S Dhawan,49,84
279,Rajasthan Royals,Royal Challengers Bangalore,KK Cooper,6,8
299,Pune Warriors,Rajasthan Royals,RV Uthappa,20,13
3,Rajasthan Royals,Delhi Daredevils,YK Pathan,5,10
303,Royal Challengers Bangalore,Pune Warriors,AB de Villiers,4,9
306,Pune Warriors,Rajasthan Royals,A Nehra,8,9
315,Kings XI Punjab,Delhi Daredevils,DJ Hussey,6,3
319,Kolkata Knight Riders,Delhi Daredevils,YK Pathan,22,40
330,Rajasthan Royals,Kolkata Knight Riders,AM Rahane,34,36
365,Kolkata Knight Riders,Delhi Daredevils,YK Pathan,16,20
366,Chennai Super Kings,Kings XI Punjab,RA Jadeja,2,5
379,Royal Challengers Bangalore,Delhi Daredevils,MC Henriques,23,26
385,Mumbai Indians,Sunrisers Hyderabad,KA Pollard,27,66
387,Delhi Daredevils,Chennai Super Kings,S Kaul,9,7
398,Chennai Super Kings,Mumbai Indians,SK Raina,1,0
446,Kings XI Punjab,Mumbai Indians,AR Patel,6,6
451,Royal Challengers Bangalore,Chennai Super Kings,YV Takawale,17,19
469,Kings XI Punjab,Delhi Daredevils,GJ Bailey,11,19
476,Kolkata Knight Riders,Delhi Daredevils,MK Pandey,3,0
518,Rising Pune Supergiants,Mumbai Indians,AM Rahane,42,66
530,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell,9,4
535,Kings XI Punjab,Sunrisers Hyderabad,DA Miller,11,9
537,Kolkata Knight Riders,Rising Pune Supergiants,G Gambhir,5,11
538,Kings XI Punjab,Mumbai Indians,DA Miller,19,30
54,Mumbai Indians,Rajasthan Royals,RR Raje,2,1
540,Delhi Daredevils,Gujarat Lions,JP Duminy,43,48
571,Mumbai Indians,Gujarat Lions,JC Buttler,32,33
68,Royal Challengers Bangalore,Kings XI Punjab,RV Uthappa,1,0
74,Rajasthan Royals,Delhi Daredevils,PC Valthaty,5,1
100,Royal Challengers Bangalore,Chennai Super Kings,RE van der Merwe,7,3
103,Mumbai Indians,Chennai Super Kings,SR Tendulkar,14,11
118,Delhi Daredevils,Kings XI Punjab,MF Maharoof,1,1
158,Royal Challengers Bangalore,Kolkata Knight Riders,S Sriram,31,27
164,Rajasthan Royals,Royal Challengers Bangalore,SR Watson,25,22
185,Kochi Tuskers Kerala,Pune Warriors,RA Jadeja,34,47
21,Royal Challengers Bangalore,Deccan Chargers,JH Kallis,25,31
241,Deccan Chargers,Kings XI Punjab,CL White,12,15
243,Chennai Super Kings,Royal Challengers Bangalore,JA Morkel,10,5
243,Royal Challengers Bangalore,Chennai Super Kings,SS Tiwary,28,13
260,Mumbai Indians,Rajasthan Royals,KA Pollard,33,64
